address,addressCity,Zipcode,area,baths,beds,soldPrice,zestimate,latitude,longitude,livingArea,rentZestimate,daysOnZillow,homeType,median_income,bus_stops_1km,police_beat,restaurants_nearby,cafes_nearby,schools_nearby,parks_nearby,gyms_nearby,supermarkets_nearby,drive_to_uiuc_main_quad_min,drive_to_downtown_champaign_min,drive_to_carle_hospital_min,drive_to_memorial_stadium_min,drive_to_willard_airport_min
"818 Sedgegrass Dr, Champaign, IL 61822",Champaign,61822,1593,3.0,3.0,"$272,000",260000,40.1254,-88.30646,1593,2030,0,TOWNHOUSE,94712.0,29.0,14,0.0,0.0,0.0,2.0,0.0,0.0,14.583333333333334,11.466666666666667,15.8,15.466666666666667,15.333333333333334
"3204 Cypress Creek Rd, Champaign, IL 61822",Champaign,61822,3448,3.0,4.0,"$450,000",451900,40.07371,-88.29286,3448,3782,1,SINGLE_FAMILY,126495.0,17.0,24,6.0,0.0,1.0,3.0,0.0,0.0,16.066666666666666,14.2,16.566666666666666,11.716666666666667,7.45
"205 Buena Vista Dr, Champaign, IL 61820",Champaign,61820,1120,1.0,3.0,"$205,000",177400,40.100967,-88.24619,1120,1457,1,SINGLE_FAMILY,57140.0,17.0,22,20.0,4.0,5.0,7.0,3.0,0.0,6.616666666666666,5.066666666666666,7.766666666666667,4.216666666666667,12.166666666666666
"909 Westfield Dr, Champaign, IL 61821",Champaign,61821,1341,2.0,3.0,"$221,900",206700,40.10625,-88.28999,1341,1796,1,SINGLE_FAMILY,87298.0,23.0,24,9.0,2.0,3.0,6.0,1.0,0.0,11.6,9.383333333333333,12.75,10.533333333333333,12.0
"1918 Robert Dr, Champaign, IL 61821",Champaign,61821,1764,2.0,3.0,"$257,550",260400,40.09109,-88.26604,1764,2035,1,SINGLE_FAMILY,75385.0,45.0,23,3.0,1.0,11.0,2.0,0.0,0.0,11.566666666666666,9.35,12.7,7.666666666666667,9.433333333333334
"2105 Noel Dr, Champaign, IL 61821",Champaign,61821,1982,3.0,4.0,"$320,000",283000,40.08928,-88.26188,1982,2493,1,SINGLE_FAMILY,168646.0,34.0,23,3.0,1.0,12.0,2.0,1.0,0.0,10.466666666666667,8.25,11.6,6.566666666666666,9.483333333333333
"1702 Patricia Ct, Champaign, IL 61821",Champaign,61821,1425,2.0,3.0,"$225,500",224800,40.110886,-88.27455,1425,1300,1,MULTI_FAMILY,64439.0,27.0,23,20.0,7.0,8.0,3.0,4.0,0.0,8.783333333333333,6.583333333333333,9.933333333333334,9.05,11.133333333333333
"1202 Joanne Ln, Champaign, IL 61821",Champaign,61821,968,1.0,3.0,"$100,000",100000,40.131187,-88.26508,968,1326,4,SINGLE_FAMILY,59548.0,0.0,13,20.0,3.0,4.0,2.0,0.0,1.0,10.45,7.066666666666666,10.083333333333334,11.45,15.933333333333334
"1605 W Park Ave, Champaign, IL 61821",Champaign,61821,821,1.0,2.0,"$170,000",173600,40.11712,-88.27308,821,1193,4,SINGLE_FAMILY,73967.0,36.0,14,20.0,6.0,8.0,6.0,4.0,0.0,8.783333333333333,5.533333333333333,9.933333333333334,9.8,12.75
"5 Lincoln Ct, Champaign, IL 61821",Champaign,61821,3258,3.0,3.0,"$469,000",454200,40.09756,-88.26679,3258,2757,4,SINGLE_FAMILY,78888.0,37.0,23,7.0,4.0,12.0,3.0,0.0,0.0,10.266666666666667,8.083333333333334,11.533333333333333,6.666666666666667,10.416666666666666
