address,area_sqft,baths,beds,city,days_on_zillow,home_type,img_url,latitude,longitude,lot_area_unit,lot_area_value,price,price_numeric,state,status_text,status_type,url,year_built,zipcode,zpid
"6 Regent Ct, Champaign, IL 61820",2615.0,3.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d3be397544e41e0b4fb6888d975f1a33-p_e.jpg,40.08166,-88.255165,acres,0.27999999999999997,"$355,000",355000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/6-Regent-Ct-Champaign-IL-61820/3198843_zpid/,,61820,3198843
"1707 W Old Church Rd, Champaign, IL 61822",1529.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/859a1359f858788c32e143849673d709-p_e.jpg,40.05415,-88.274826,acres,0.95,"$269,900",269900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/1707-W-Old-Church-Rd-Champaign-IL-61822/3215783_zpid/,,61822,3215783
"7 Greencroft Dr, Champaign, IL 61821",3123.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/666ab25f244f2ace3679e8921596168b-p_e.jpg,40.101517,-88.26072,acres,0.5509641873278237,"$1,300,000",1300000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/7-Greencroft-Dr-Champaign-IL-61821/3227991_zpid/,,61821,3227991
"909 W Union St, Champaign, IL 61821",1200.0,1.0,2.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6ab241c99ce09323d97cc516ebbeae1b-p_e.jpg,40.113266,-88.259094,sqft,7000.0,"$210,000",210000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/909-W-Union-St-Champaign-IL-61821/3224077_zpid/,,61821,3224077
"3207 Ridgewood Dr, Champaign, IL 61821",912.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/686e5119e4dadb6fab42c7781bbe67a3-p_e.jpg,40.111683,-88.29978,sqft,6969.6,"$149,900",149900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/3207-Ridgewood-Dr-Champaign-IL-61821/3229626_zpid/,,61821,3229626
"2004 Emerald Dr, Champaign, IL 61822",2004.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4e484a51bb8a12ea114c096729fb7435-p_e.jpg,40.090546,-88.3239,acres,0.2686868686868687,"$424,900",424900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/2004-Emerald-Dr-Champaign-IL-61822/65292685_zpid/,,61822,65292685
"1120 W Church St, Champaign, IL 61821",2063.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8e0e23ee1c8b3d3fff654403f4ac9836-p_e.jpg,40.118565,-88.26485,sqft,7405.2,"$435,000",435000.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/1120-W-Church-St-Champaign-IL-61821/3223629_zpid/,,61821,3223629
"905 S Duncan Rd, Champaign, IL 61821",958.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a1b62acc3e4d8fec0c4c589a05eafd3e-p_e.jpg,40.10667,-88.29567,sqft,6500.0,"$149,900",149900.0,IL,New,FOR_SALE,https://www.zillow.com/homedetails/905-S-Duncan-Rd-Champaign-IL-61821/3229999_zpid/,,61821,3229999
"1208 W Union St, Champaign, IL 61821",1923.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d9a88347cd56406edfcb1c0d114b5d56-p_e.jpg,40.113873,-88.26598,sqft,8712.0,"$229,900",229900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1208-W-Union-St-Champaign-IL-61821/3223901_zpid/,,61821,3223901
"1012 Waters Edge Rd, Champaign, IL 61822",2482.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/944778929522ede13ab838920df109e3-p_e.jpg,40.105103,-88.30579,acres,0.29545454545454547,"$365,000",365000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1012-Waters-Edge-Rd-Champaign-IL-61822/59716012_zpid/,,61822,59716012
